군구명,행정구역(동읍면)별,항목,10세미만,10대,20대,30대,40대,50대,60대,70대,80대,90대,100세이상
중구,연안동,남자인구수 (명),120,151,361,369,481,737,694,298,107,13,0
중구,연안동,여자인구수 (명),102,173,260,235,321,525,634,338,194,41,2
중구,신포동,남자인구수 (명),133,178,294,283,429,462,417,275,113,12,0
중구,신포동,여자인구수 (명),106,166,242,227,359,399,410,354,200,44,2
중구,신흥동,남자인구수 (명),401,580,875,831,1068,1218,1018,524,192,14,0
중구,신흥동,여자인구수 (명),396,542,731,714,934,1046,1044,655,322,64,0
중구,도원동,남자인구수 (명),57,145,249,197,298,380,364,245,74,9,0
중구,도원동,여자인구수 (명),69,112,181,164,242,330,409,291,127,25,1
중구,율목동,남자인구수 (명),54,93,183,166,265,348,299,201,49,5,0
중구,율목동,여자인구수 (명),34,97,149,112,207,261,318,249,115,25,0
중구,동인천동,남자인구수 (명),97,142,321,386,437,653,580,318,129,16,1
중구,동인천동,여자인구수 (명),97,143,273,285,288,456,527,371,248,59,4
중구,개항동,남자인구수 (명),139,218,405,389,530,678,659,391,130,17,0
중구,개항동,여자인구수 (명),114,230,356,289,426,560,735,519,262,32,2
중구,영종동,남자인구수 (명),576,739,1312,1674,1677,1744,1422,538,170,22,3
중구,영종동,여자인구수 (명),554,671,1067,1122,1249,1333,1201,537,306,73,2
중구,영종1동,남자인구수 (명),3500,2584,1853,4134,5038,2400,1369,688,160,16,1
중구,영종1동,여자인구수 (명),3292,2504,1861,4419,4535,2236,1632,710,285,60,1
중구,운서동,남자인구수 (명),895,1773,3655,3143,3031,2369,1047,533,215,12,2
중구,운서동,여자인구수 (명),820,1569,3988,2128,2607,1751,984,701,312,31,1
중구,용유동,남자인구수 (명),35,56,169,164,293,515,575,315,81,8,1
중구,용유동,여자인구수 (명),38,53,90,93,158,349,512,280,139,37,2
동구,만석동,남자인구수 (명),233,304,417,407,620,653,559,271,95,12,1
동구,만석동,여자인구수 (명),187,288,323,363,546,520,552,354,208,36,0
동구,화수1.화평동,남자인구수 (명),124,238,369,265,440,590,540,342,128,12,0
동구,화수1.화평동,여자인구수 (명),105,222,298,240,388,475,540,426,193,37,3
동구,화수2동,남자인구수 (명),174,284,411,389,645,667,655,385,146,13,0
동구,화수2동,여자인구수 (명),148,317,351,319,526,592,724,549,306,43,2
동구,송현1.2동,남자인구수 (명),401,466,609,691,914,768,729,454,125,8,2
동구,송현1.2동,여자인구수 (명),410,414,567,679,841,808,857,531,215,37,3
동구,송현3동,남자인구수 (명),61,99,213,187,271,365,383,186,84,8,0
동구,송현3동,여자인구수 (명),53,97,165,133,196,285,354,252,168,16,1
동구,송림1동,남자인구수 (명),38,53,91,90,126,120,150,82,29,4,0
동구,송림1동,여자인구수 (명),43,53,77,63,114,119,150,109,79,9,1
동구,송림2동,남자인구수 (명),39,73,159,127,205,263,294,181,86,8,2
동구,송림2동,여자인구수 (명),34,74,91,84,141,192,325,239,148,23,2
동구,송림3.5동,남자인구수 (명),233,334,470,451,659,675,621,366,132,16,2
동구,송림3.5동,여자인구수 (명),182,318,332,372,591,583,668,469,219,37,6
동구,송림4동,남자인구수 (명),253,292,382,591,562,517,368,161,45,5,1
동구,송림4동,여자인구수 (명),249,282,353,466,509,445,367,183,76,14,2
동구,송림6동,남자인구수 (명),279,323,308,385,621,505,468,271,93,5,1
동구,송림6동,여자인구수 (명),251,252,290,391,514,472,530,312,179,50,6
동구,금창동,남자인구수 (명),46,109,147,131,244,236,293,201,75,7,0
동구,금창동,여자인구수 (명),63,79,135,107,181,190,289,279,140,25,2
미추홀구,숭의2동,남자인구수 (명),555,471,1017,1173,1190,1231,1017,537,193,23,1
미추홀구,숭의2동,여자인구수 (명),517,450,904,981,985,1156,1113,704,377,65,5
미추홀구,숭의1.3동,남자인구수 (명),566,418,1004,1278,1131,1083,887,422,178,10,1
미추홀구,숭의1.3동,여자인구수 (명),519,406,1078,1125,920,1106,927,532,326,67,4
미추홀구,숭의4동,남자인구수 (명),523,687,1106,1173,1273,1369,1209,681,214,32,1
미추홀구,숭의4동,여자인구수 (명),513,590,1003,997,1208,1313,1313,788,419,70,2
미추홀구,용현1.4동,남자인구수 (명),321,505,2533,1088,1179,1358,1277,799,300,34,0
미추홀구,용현1.4동,여자인구수 (명),292,445,1443,717,865,1253,1383,977,443,87,2
미추홀구,용현2동,남자인구수 (명),681,696,1282,1479,1367,1379,1165,699,209,19,5
미추홀구,용현2동,여자인구수 (명),598,615,1285,1310,1254,1356,1253,788,366,72,9
미추홀구,용현3동,남자인구수 (명),132,173,553,517,561,715,675,417,171,18,1
미추홀구,용현3동,여자인구수 (명),130,162,367,335,380,566,763,487,271,39,6
미추홀구,용현5동,남자인구수 (명),1995,2539,3446,3200,4205,3865,2758,1217,435,34,0
미추홀구,용현5동,여자인구수 (명),1916,2355,3370,3077,4112,3948,2879,1500,752,133,0
미추홀구,학익1동,남자인구수 (명),1112,1867,2231,1705,2744,2890,2107,975,328,23,3
미추홀구,학익1동,여자인구수 (명),1118,1676,1970,1661,2797,2862,2221,1156,558,97,4
미추홀구,학익2동,남자인구수 (명),506,852,1257,1094,1411,1624,1305,724,246,27,1
미추홀구,학익2동,여자인구수 (명),536,803,1044,977,1412,1666,1493,867,472,82,4
미추홀구,도화1동,남자인구수 (명),833,748,1615,1874,1889,1924,1525,826,285,33,0
미추홀구,도화1동,여자인구수 (명),726,775,1605,1644,1664,1906,1707,997,491,75,2
미추홀구,도화2.3동,남자인구수 (명),1607,1316,1987,3066,2905,2346,2133,925,304,17,5
미추홀구,도화2.3동,여자인구수 (명),1564,1248,1916,2641,2468,2412,2162,1091,544,100,7
미추홀구,주안1동,남자인구수 (명),645,442,2106,2373,1830,1610,1149,437,163,11,3
미추홀구,주안1동,여자인구수 (명),558,437,2114,1855,1344,1503,1165,492,248,52,1
미추홀구,주안2동,남자인구수 (명),463,576,1153,1116,1288,1484,1351,776,257,24,0
미추홀구,주안2동,여자인구수 (명),445,518,951,976,1086,1359,1538,871,457,82,1
미추홀구,주안3동,남자인구수 (명),209,346,642,529,717,754,717,391,126,19,2
미추홀구,주안3동,여자인구수 (명),209,303,542,427,607,727,756,507,233,34,3
미추홀구,주안4동,남자인구수 (명),262,409,894,833,1005,1188,1156,761,264,17,1
미추홀구,주안4동,여자인구수 (명),269,431,755,650,800,1100,1412,884,421,80,0
미추홀구,주안5동,남자인구수 (명),462,607,1376,1629,1554,1656,1377,670,241,17,3
미추홀구,주안5동,여자인구수 (명),473,655,1313,1241,1301,1652,1549,862,455,82,4
미추홀구,주안6동,남자인구수 (명),972,922,1419,1753,2024,1630,1328,670,252,17,0
미추홀구,주안6동,여자인구수 (명),899,890,1378,1613,1779,1613,1615,780,389,84,3
미추홀구,주안7동,남자인구수 (명),262,480,799,698,942,1081,1063,549,213,23,1
미추홀구,주안7동,여자인구수 (명),264,424,680,589,901,1180,1250,761,360,59,2
미추홀구,주안8동,남자인구수 (명),581,926,1485,1315,1629,1844,1521,747,255,26,0
미추홀구,주안8동,여자인구수 (명),578,932,1322,1144,1590,2029,1753,930,442,66,2
미추홀구,관교동,남자인구수 (명),501,669,1010,947,1109,1249,1197,585,162,23,1
미추홀구,관교동,여자인구수 (명),439,654,979,892,1134,1394,1302,601,318,64,2
미추홀구,문학동,남자인구수 (명),379,606,1001,1055,1578,1508,906,370,123,8,1
미추홀구,문학동,여자인구수 (명),366,569,900,804,1244,1099,828,452,210,44,3
연수구,옥련1동,남자인구수 (명),678,962,1397,1171,1502,1808,1287,586,225,25,0
